,pokemon1,pokemon2,pokemon3,url,rating
126,Hariyama1475,Tamao,GranbullCC,https://pvpoke.com/team-builder/all/1500/hariyama-m-1-1-3%2Cumbreon-m-1-3-2%2Cgranbull-m-0-1-0,784
127,Tamao,Snorlax1488,GranbullCC,https://pvpoke.com/team-builder/all/1500/umbreon-m-1-3-2%2Csnorlax-m-0-4-0%2Cgranbull-m-0-1-0,816
128,Tamao,Galvantula1474,GranbullCC,https://pvpoke.com/team-builder/all/1500/umbreon-m-1-3-2%2Cgalvantula-m-1-4-0%2Cgranbull-m-0-1-0,807
129,Lapras1450,Tamao,GranbullCC,https://pvpoke.com/team-builder/all/1500/lapras-m-0-6-0%2Cumbreon-m-1-3-2%2Cgranbull-m-0-1-0,802
130,Hariyama1475,Tamao,Snorlax1488,https://pvpoke.com/team-builder/all/1500/hariyama-m-1-1-3%2Cumbreon-m-1-3-2%2Csnorlax-m-0-4-0,784
131,Hariyama1475,Tamao,Galvantula1474,https://pvpoke.com/team-builder/all/1500/hariyama-m-1-1-3%2Cumbreon-m-1-3-2%2Cgalvantula-m-1-4-0,768
132,Lapras1450,Hariyama1475,Tamao,https://pvpoke.com/team-builder/all/1500/lapras-m-0-6-0%2Chariyama-m-1-1-3%2Cumbreon-m-1-3-2,733
133,Tamao,Snorlax1488,Galvantula1474,https://pvpoke.com/team-builder/all/1500/umbreon-m-1-3-2%2Csnorlax-m-0-4-0%2Cgalvantula-m-1-4-0,806
134,Lapras1450,Tamao,Snorlax1488,https://pvpoke.com/team-builder/all/1500/lapras-m-0-6-0%2Cumbreon-m-1-3-2%2Csnorlax-m-0-4-0,806
135,Lapras1450,Tamao,Galvantula1474,https://pvpoke.com/team-builder/all/1500/lapras-m-0-6-0%2Cumbreon-m-1-3-2%2Cgalvantula-m-1-4-0,787
136,Skaromry1489,Toxicroak,Mew,https://pvpoke.com/team-builder/all/1500/skarmory-m-0-3-0%2Ctoxicroak-m-0-2-0%2Cmew-m-8-9-0,782
137,Skaromry1489,Mew,alolan_raichu,https://pvpoke.com/team-builder/all/1500/skarmory-m-0-3-0%2Cmew-m-8-9-0%2Craichu_alolan-m-0-3-0,806
138,Skaromry1489,Mew,GranbullCC,https://pvpoke.com/team-builder/all/1500/skarmory-m-0-3-0%2Cmew-m-8-9-0%2Cgranbull-m-0-1-0,809
139,Skaromry1489,Hariyama1475,Mew,https://pvpoke.com/team-builder/all/1500/skarmory-m-0-3-0%2Chariyama-m-1-1-3%2Cmew-m-8-9-0,771
140,Skaromry1489,Mew,Snorlax1488,https://pvpoke.com/team-builder/all/1500/skarmory-m-0-3-0%2Cmew-m-8-9-0%2Csnorlax-m-0-4-0,811
141,Skaromry1489,Mew,Galvantula1474,https://pvpoke.com/team-builder/all/1500/skarmory-m-0-3-0%2Cmew-m-8-9-0%2Cgalvantula-m-1-4-0,804
142,Lapras1450,Skaromry1489,Mew,https://pvpoke.com/team-builder/all/1500/lapras-m-0-6-0%2Cskarmory-m-0-3-0%2Cmew-m-8-9-0,806
